Date,Open,High,Low,Last,Volume,Status
5/2/1990,8.5625,1,,,,
5/3/1990,8.5,1,,,,
5/4/1990,8.4375,1,,,,
5/8/1990,8.375,1,,,,
5/9/1990,8.32813,1,,,,
5/10/1990,8.3125,1,,,,
5/11/1990,8.3125,1,,,,
5/14/1990,8.3125,1,,,,
5/15/1990,8.3125,1,,,,
5/16/1990,8.3125,1,,,,
5/17/1990,8.3125,1,,,,
5/18/1990,8.3125,1,,,,
5/21/1990,8.3125,1,,,,
5/22/1990,8.3125,1,,,,
5/23/1990,8.25,1,,,,
5/24/1990,8.25,1,,,,
5/25/1990,8.25,1,,,,
5/29/1990,8.25,1,,,,
5/30/1990,8.3125,1,,,,
5/31/1990,8.3125,1,,,,
6/1/1990,8.3125,1,,,,
6/4/1990,8.25,1,,,,
6/5/1990,8.25,1,,,,
6/6/1990,8.3125,1,,,,
6/7/1990,8.3125,1,,,,
6/8/1990,8.28125,1,,,,
6/11/1990,8.25,1,,,,
6/12/1990,8.3125,1,,,,
6/13/1990,8.3125,1,,,,
6/14/1990,8.25,1,,,,
6/15/1990,8.25,1,,,,
6/18/1990,8.3125,1,,,,
6/19/1990,8.3125,1,,,,
6/20/1990,8.3125,1,,,,
6/21/1990,8.3125,1,,,,
6/22/1990,8.3125,1,,,,
6/25/1990,8.3125,1,,,,
6/26/1990,8.3125,1,,,,
6/27/1990,8.375,1,,,,
6/28/1990,8.3125,1,,,,
6/29/1990,8.3125,1,,,,
7/2/1990,8.3125,1,,,,
7/3/1990,8.3125,1,,,,
7/4/1990,8.3125,1,,,,
7/5/1990,8.3125,1,,,,
7/6/1990,8.3125,1,,,,
7/9/1990,8.375,1,,,,
7/10/1990,8.375,1,,,,
7/11/1990,8.375,1,,,,
7/12/1990,8.375,1,,,,
7/13/1990,8.25,1,,,,
7/16/1990,8.1875,1,,,,
7/17/1990,8.125,1,,,,
7/18/1990,8.125,1,,,,
7/19/1990,8.125,1,,,,
7/20/1990,8.125,1,,,,
7/23/1990,8.125,1,,,,
7/24/1990,8.0625,1,,,,
7/25/1990,8.0625,1,,,,
7/26/1990,8.0625,1,,,,
7/27/1990,8.09375,1,,,,
7/30/1990,8.0625,1,,,,
7/31/1990,8,1,,,,
8/1/1990,8,1,,,,
8/2/1990,8,1,,,,
8/3/1990,8.0625,1,,,,
8/6/1990,8,1,,,,
8/7/1990,8,1,,,,
8/8/1990,8.04688,1,,,,
8/9/1990,8.0625,1,,,,
8/10/1990,8.0625,1,,,,
8/13/1990,8.0625,1,,,,
8/14/1990,8.0625,1,,,,
8/15/1990,8.0625,1,,,,
8/16/1990,8.0625,1,,,,
8/17/1990,8.1875,1,,,,
8/20/1990,8.1875,1,,,,
8/21/1990,8.1875,1,,,,
8/22/1990,8.1875,1,,,,
8/23/1990,8.25,1,,,,
8/24/1990,8.25,1,,,,
8/28/1990,8.125,1,,,,
8/29/1990,8.125,1,,,,
8/30/1990,8.125,1,,,,
8/31/1990,8.0625,1,,,,
9/3/1990,8.0625,1,,,,
9/4/1990,8.0625,1,,,,
9/5/1990,8,1,,,,
9/6/1990,8,1,,,,
9/7/1990,8.0625,1,,,,
9/10/1990,8.125,1,,,,
9/11/1990,8.125,1,,,,
9/12/1990,8.125,1,,,,
9/13/1990,8.1875,1,,,,
9/14/1990,8.125,1,,,,
9/17/1990,8.125,1,,,,
9/18/1990,8.1875,1,,,,
9/19/1990,8.1875,1,,,,
9/20/1990,8.25,1,,,,
9/21/1990,8.3125,1,,,,
9/24/1990,8.3125,1,,,,
9/25/1990,8.4375,1,,,,
9/26/1990,8.5,1,,,,
9/27/1990,8.3125,1,,,,
9/28/1990,8.26563,1,,,,
10/1/1990,8.125,1,,,,
10/2/1990,8.125,1,,,,
10/3/1990,8.125,1,,,,
10/4/1990,8.14063,1,,,,
10/5/1990,8.1875,1,,,,
10/8/1990,8.1875,1,,,,
10/9/1990,8.1875,1,,,,
10/10/1990,8.25,1,,,,
10/11/1990,8.25,1,,,,
10/12/1990,8.1875,1,,,,
10/15/1990,8.1875,1,,,,
10/16/1990,8.1875,1,,,,
10/17/1990,8.1875,1,,,,
10/18/1990,8.1875,1,,,,
10/19/1990,8.125,1,,,,
10/22/1990,8.125,1,,,,
10/23/1990,8.125,1,,,,
10/24/1990,8.125,1,,,,
10/25/1990,8.0625,1,,,,
10/26/1990,8,1,,,,
10/29/1990,7.9375,1,,,,
10/30/1990,7.9375,1,,,,
10/31/1990,7.9375,1,,,,
11/1/1990,8,1,,,,
11/2/1990,8,1,,,,
11/3/1990,8,1,,,,
11/5/1990,8,1,,,,
11/6/1990,8,1,,,,
11/7/1990,8,1,,,,
11/8/1990,8,1,,,,
11/9/1990,8,1,,,,
11/12/1990,7.9375,1,,,,
11/13/1990,7.9375,1,,,,
11/14/1990,7.9375,1,,,,
11/15/1990,7.9375,1,,,,
11/16/1990,7.92188,1,,,,
11/19/1990,7.9375,1,,,,
11/20/1990,7.9375,1,,,,
11/21/1990,7.875,1,,,,
11/22/1990,7.875,1,,,,
11/23/1990,7.875,1,,,,
11/26/1990,7.875,1,,,,
11/27/1990,8,1,,,,
11/28/1990,9.125,1,,,,
11/29/1990,8.875,1,,,,
11/30/1990,8.625,1,,,,
12/3/1990,8.625,1,,,,
12/4/1990,8.5625,1,,,,
12/5/1990,8.375,1,,,,
12/6/1990,8.375,1,,,,
12/7/1990,8.3125,1,,,,
12/10/1990,7.875,1,,,,
12/11/1990,7.875,1,,,,
12/12/1990,7.875,1,,,,
12/13/1990,7.875,1,,,,
12/14/1990,8.10938,1,,,,
12/17/1990,8.375,1,,,,
12/18/1990,8.375,1,,,,
12/19/1990,8.125,1,,,,
12/20/1990,8.25,1,,,,
12/21/1990,8.6875,1,,,,
12/24/1990,8.875,1,,,,
12/27/1990,9.125,1,,,,
12/28/1990,7.625,1,,,,
12/31/1990,7.625,1,,,,
1/2/1991,7.5625,1,,,,
1/3/1991,7.375,1,,,,
1/4/1991,7.4375,1,,,,
1/7/1991,7.57813,1,,,,
1/8/1991,7.64063,1,,,,
1/9/1991,7.48438,1,,,,
1/10/1991,7.3125,1,,,,
1/11/1991,7.1875,1,,,,
1/14/1991,7.5,1,,,,
1/15/1991,7.5,1,,,,
1/16/1991,7.5625,1,,,,
1/17/1991,7.375,1,,,,
1/18/1991,7.3125,1,,,,
1/21/1991,7.125,1,,,,
1/22/1991,6.92188,1,,,,
1/23/1991,6.9375,1,,,,
1/24/1991,6.75,1,,,,
1/25/1991,6.8125,1,,,,
1/28/1991,6.875,1,,,,
1/29/1991,6.95313,1,,,,
1/30/1991,6.9375,1,,,,
1/31/1991,6.9375,1,,,,
2/1/1991,6.9375,1,,,,
